id,Student_id,Stream,Course_year,Campus
,82886475,IMSI,2012/2013,CERGY
,82886475,ING3,2012/2013,CERGY
,40597213,VISUAL,2012/2013,CERGY
,40597213,ING3,2012/2013,CERGY
,89722308,IMSI,2012/2013,CERGY
,89722308,ING3,2012/2013,CERGY
,29567534,VISUAL,2012/2013,CERGY
,29567534,ING3,2012/2013,CERGY
,91470467,VISUAL,2012/2013,CERGY
,91470467,ING3,2012/2013,CERGY
,26395190,VISUAL,2012/2013,CERGY
,26395190,ING3,2012/2013,CERGY
,54654596,ING3,2012/2013,CERGY
,54654596,ING3,2012/2013,CERGY
,99653351,IFI,2012/2013,CERGY
,99653351,ING3,2012/2013,CERGY
,29068115,VISUAL,2012/2013,CERGY
,29068115,ING3,2012/2013,CERGY
,52752742,IMSI,2012/2013,CERGY
,52752742,ING3,2012/2013,CERGY
,7912624,VISUAL,2012/2013,CERGY
,7912624,ING3,2012/2013,CERGY
,13681121,ING3,2012/2013,CERGY
,13681121,ING2,2012/2013,CERGY
,13681121,ING3,2012/2013,CERGY
,22516677,ING3,2012/2013,CERGY
,22516677,ING2,2012/2013,CERGY
,22516677,ING3,2012/2013,CERGY
,53062329,ING3,2012/2013,CERGY
,53062329,ING2,2012/2013,CERGY
,53062329,ING3,2012/2013,CERGY
,32209767,IERP,2012/2013,PAU
,32209767,ING2,2012/2013,PAU
,32209767,ING3,2012/2013,PAU
,65919756,ING3,2012/2013,CERGY
,65919756,ING2,2012/2013,CERGY
,65919756,ING3,2012/2013,CERGY
,91695042,ING3,2012/2013,CERGY
,91695042,ING2,2012/2013,CERGY
,91695042,ING3,2012/2013,CERGY
,40881422,ICOM,2012/2013,CERGY
,40881422,ING2,2012/2013,CERGY
,40881422,ING3,2012/2013,CERGY
,59630688,GL,2012/2013,CERGY
,59630688,ING3,2012/2013,CERGY
,33475391,IFI,2012/2013,CERGY
,33475391,ING3,2012/2013,CERGY
,18709514,IFI,2012/2013,CERGY
,18709514,ING3,2012/2013,CERGY
,4343360,ING3,2012/2013,CERGY
,4343360,ING2,2012/2013,CERGY
,4343360,ING3,2012/2013,CERGY
,7276542,ICC,2012/2013,PAU
,7276542,ING3,2012/2013,PAU
,69268989,ING3,2012/2013,CERGY
,69268989,ING2,2012/2013,CERGY
,69268989,ING3,2012/2013,CERGY
,77824921,IFI,2012/2013,CERGY
,77824921,ING3,2012/2013,CERGY
,77125116,ING2,2012/2013,CERGY
,77125116,ING3,2012/2013,CERGY
,71431960,IFI,2012/2013,CERGY
,71431960,ING3,2012/2013,CERGY
,55905693,ICOM,2012/2013,CERGY
,55905693,ING2,2012/2013,CERGY
,55905693,ING3,2012/2013,CERGY
,71198412,ING3,2012/2013,CERGY
,71198412,ING2,2012/2013,CERGY
,71198412,ING3,2012/2013,CERGY
,93747017,ING3,2012/2013,CERGY
,93747017,ING2,2012/2013,CERGY
,93747017,ING2,2012/2013,CERGY
,58462209,ING3,2012/2013,CERGY
,58462209,ING2,2012/2013,CERGY
,58462209,ING3,2012/2013,CERGY
,80733109,ICOM,2012/2013,CERGY
,80733109,ING2,2012/2013,CERGY
,80733109,ING3,2012/2013,CERGY
,81601290,ICOM,2012/2013,CERGY
,81601290,ING2,2012/2013,CERGY
,81601290,ING3,2012/2013,CERGY
,97265512,ING2,2012/2013,CERGY
,97265512,ING2,2012/2013,CERGY
,41253599,ING3,2012/2013,CERGY
,52701240,ING3,2012/2013,CERGY
,17456569,ICOM,2012/2013,CERGY
,17456569,ING2,2012/2013,CERGY
,17456569,ING3,2012/2013,CERGY
,46133654,IFI,2012/2013,CERGY
,46133654,ING3,2012/2013,CERGY
,88167888,IFI,2012/2013,CERGY
,88167888,ING3,2012/2013,CERGY
,40097318,VISUAL,2012/2013,CERGY
,40097318,ING3,2012/2013,CERGY
,77633763,IFI,2012/2013,CERGY
,77633763,ING3,2012/2013,CERGY
,15244038,ICOM,2012/2013,CERGY
